time,temperature_2m_mean (°C)
4/6/2015,12.7
4/7/2015,11.2
4/8/2015,6.9
4/9/2015,7.9
4/10/2015,9.3
4/11/2015,11.3
4/12/2015,13.3
4/13/2015,14.6
4/14/2015,14.7
4/15/2015,14.3
4/16/2015,15.3
4/17/2015,16.2
4/18/2015,16.7
4/19/2015,15.8
4/20/2015,12.5
4/21/2015,12.5
4/22/2015,13.8
4/23/2015,12.2
4/24/2015,13.6
4/25/2015,14.5
4/26/2015,14.2
4/27/2015,16
4/28/2015,17.9
4/29/2015,16.5
4/30/2015,16.4
5/1/2015,16.9
5/2/2015,17.9
5/3/2015,18.3
5/4/2015,19.8
5/5/2015,21.3
5/6/2015,23.2
5/7/2015,24.6
5/8/2015,21.9
5/9/2015,20.7
5/10/2015,18.3
5/11/2015,15.5
5/12/2015,15.8
5/13/2015,17.7
5/14/2015,19
5/15/2015,20.8
5/16/2015,21.4
5/17/2015,20.5
5/18/2015,20.1
5/19/2015,19
5/20/2015,19.4
5/21/2015,21.6
5/22/2015,21.7
5/23/2015,21.7
5/24/2015,19.8
5/25/2015,19.9
5/26/2015,19.7
5/27/2015,19.2
5/28/2015,16.8
5/29/2015,16.4
5/30/2015,18.6
5/31/2015,19.6
6/1/2015,20.3
6/2/2015,19.7
6/3/2015,20.6
6/4/2015,21.8
6/5/2015,20.5
6/6/2015,20
6/7/2015,18.6
6/8/2015,19.3
6/9/2015,19.3
6/10/2015,20.8
6/11/2015,21.3
6/12/2015,22.1
6/13/2015,23.9
6/14/2015,25.4
6/15/2015,26.7
6/16/2015,27.1
6/17/2015,26.1
6/18/2015,21.8
6/19/2015,20.9
6/20/2015,22.7
6/21/2015,22.9
6/22/2015,20.4
6/23/2015,21.2
6/24/2015,23.8
6/25/2015,24.6
6/26/2015,22.2
6/27/2015,19.9
6/28/2015,21.6
6/29/2015,22
6/30/2015,22.2
7/1/2015,21.2
7/2/2015,22.4
7/3/2015,23.6
7/4/2015,23.1
7/5/2015,24.1
7/6/2015,25.9
7/7/2015,26.1
7/8/2015,26.3
7/9/2015,26.5
7/10/2015,27.4
7/11/2015,26.1
7/12/2015,26.5
7/13/2015,27
7/14/2015,28
7/15/2015,27.2
7/16/2015,26.9
7/17/2015,26.6
7/18/2015,26.5
7/19/2015,26.9
7/20/2015,28
7/21/2015,28.5
7/22/2015,27.8
7/23/2015,26.5
7/24/2015,26.7
7/25/2015,28.1
7/26/2015,28.8
7/27/2015,29.7
7/28/2015,30.3
7/29/2015,30.5
7/30/2015,31.3
7/31/2015,31.6
8/1/2015,29.8
8/2/2015,28.2
8/3/2015,27.7
8/4/2015,27.7
8/5/2015,27.7
8/6/2015,27.9
8/7/2015,26.4
8/8/2015,25.5
8/9/2015,26
8/10/2015,26.5
8/11/2015,27.4
8/12/2015,27.9
8/13/2015,28.4
8/14/2015,27.5
8/15/2015,27.6
8/16/2015,28
8/17/2015,27.7
8/18/2015,26.5
8/19/2015,28.1
8/20/2015,28.3
8/21/2015,26.3
8/22/2015,25.6
8/23/2015,24.7
8/24/2015,24.9
8/25/2015,24.9
8/26/2015,24.9
8/27/2015,24.7
8/28/2015,25
8/29/2015,24.7
8/30/2015,26.4
8/31/2015,26.2
9/1/2015,26
9/2/2015,26.8
9/3/2015,27.5
9/4/2015,28.4
9/5/2015,29.8
9/6/2015,30.8
9/7/2015,28.4
9/8/2015,25.4
9/9/2015,24.1
9/10/2015,25.1
9/11/2015,25.5
9/12/2015,23.8
9/13/2015,22.7
9/14/2015,22.6
9/15/2015,23.1
9/16/2015,23.4
9/17/2015,24.2
9/18/2015,25
9/19/2015,25.2
9/20/2015,25.1
9/21/2015,20.5
9/22/2015,19.5
9/23/2015,20.3
9/24/2015,22.3
9/25/2015,22.1
9/26/2015,20.8
9/27/2015,20.6
9/28/2015,21
9/29/2015,19
9/30/2015,18.1
10/1/2015,16.9
10/2/2015,16.9
10/3/2015,17.8
10/4/2015,19.6
10/5/2015,20.1
10/6/2015,20.7
10/7/2015,20.6
10/8/2015,20
10/9/2015,20.3
10/10/2015,19.7
10/11/2015,20.7
10/12/2015,19.7
10/13/2015,18.4
10/14/2015,18.7
10/15/2015,17.4
10/16/2015,16.7
10/17/2015,17.9
10/18/2015,19.4
10/19/2015,18.9
10/20/2015,19.5
10/21/2015,19.2
10/22/2015,19.4
10/23/2015,15.2
10/24/2015,13.2
10/25/2015,13.6
10/26/2015,13.3
10/27/2015,13.7
10/28/2015,13
10/29/2015,12.2
10/30/2015,12.8
10/31/2015,12.4
11/1/2015,11.9
11/2/2015,11.6
11/3/2015,12.5
11/4/2015,13.1
11/5/2015,14.4
11/6/2015,14.4
11/7/2015,13.2
11/8/2015,12.4
11/9/2015,14.4
11/10/2015,15.7
11/11/2015,16.5
11/12/2015,16.5
11/13/2015,16.9
11/14/2015,16.6
11/15/2015,14.4
11/16/2015,13.9
11/17/2015,15.1
11/18/2015,14.4
11/19/2015,14.4
11/20/2015,14.7
11/21/2015,14.4
11/22/2015,15.8
11/23/2015,16.1
11/24/2015,15
11/25/2015,14.4
11/26/2015,13.1
11/27/2015,12.5
11/28/2015,11.9
11/29/2015,12.4
11/30/2015,11.4
12/1/2015,10.6
12/2/2015,12.2
12/3/2015,13.2
12/4/2015,12.4
12/5/2015,10.2
12/6/2015,10.3
12/7/2015,10.8
12/8/2015,10.1
12/9/2015,8.7
12/10/2015,8.6
12/11/2015,7.8
12/12/2015,6.9
12/13/2015,8.3
12/14/2015,9.9
12/15/2015,8.8
12/16/2015,8.3
12/17/2015,7.6
12/18/2015,7.6
12/19/2015,7.1
12/20/2015,7
12/21/2015,7.6
12/22/2015,9.1
12/23/2015,9
12/24/2015,10.9
12/25/2015,10.1
12/26/2015,9.3
12/27/2015,8.7
12/28/2015,10.5
12/29/2015,10.1
12/30/2015,7
12/31/2015,1.5
1/1/2016,2
1/2/2016,6.1
1/3/2016,7.9
1/4/2016,9.7
1/5/2016,13.2
1/6/2016,12.5
1/7/2016,11
1/8/2016,10.5
1/9/2016,10.4
1/10/2016,10.3
1/11/2016,11.6
1/12/2016,11.7
1/13/2016,10.9
1/14/2016,8.5
1/15/2016,9.4
1/16/2016,11.3
1/17/2016,9
1/18/2016,3.3
1/19/2016,3.3
1/20/2016,4.9
1/21/2016,7.1
1/22/2016,6.3
1/23/2016,3.1
1/24/2016,2.7
1/25/2016,3.8
1/26/2016,6.9
1/27/2016,7.6
1/28/2016,9.9
1/29/2016,9.3
1/30/2016,9.5
1/31/2016,9.3
2/1/2016,10.3
2/2/2016,11.8
2/3/2016,11.4
2/4/2016,10.8
2/5/2016,7.4
2/6/2016,5.6
2/7/2016,6.9
2/8/2016,7.7
2/9/2016,8.1
2/10/2016,8.9
2/11/2016,12.2
2/12/2016,12
2/13/2016,11.7
2/14/2016,13.7
2/15/2016,14
2/16/2016,14.9
2/17/2016,13.4
2/18/2016,13.5
2/19/2016,13.5
2/20/2016,11.4
2/21/2016,11.1
2/22/2016,12.7
2/23/2016,13.9
2/24/2016,13.1
2/25/2016,11.5
2/26/2016,12.4
2/27/2016,11.4
2/28/2016,11.5
2/29/2016,13
3/1/2016,14.5
3/2/2016,10.9
3/3/2016,11.3
3/4/2016,9.7
3/5/2016,11.1
3/6/2016,11.8
3/7/2016,12.8
3/8/2016,12.9
3/9/2016,11.6
3/10/2016,9.5
3/11/2016,11.4
3/12/2016,11.1
3/13/2016,12
3/14/2016,8.3
3/15/2016,7.8
3/16/2016,8.6
3/17/2016,7.9
3/18/2016,8.9
3/19/2016,11.3
3/20/2016,11.3
3/21/2016,12.7
3/22/2016,14.1
3/23/2016,14.3
3/24/2016,13.3
3/25/2016,11.3
3/26/2016,9.4
3/27/2016,9.3
3/28/2016,9
3/29/2016,12
3/30/2016,13.3
3/31/2016,14.8
4/1/2016,14.8
4/2/2016,15.1
4/3/2016,14.1
4/4/2016,15.9
4/5/2016,17.1
4/6/2016,17.4
4/7/2016,17.1
4/8/2016,17.2
4/9/2016,16.5
4/10/2016,13.8
4/11/2016,14.8
4/12/2016,16.7
4/13/2016,18.7
4/14/2016,20.7
4/15/2016,18.6
4/16/2016,18.7
4/17/2016,19.5
4/18/2016,20.8
4/19/2016,21.9
4/20/2016,20.8
4/21/2016,15.7
4/22/2016,16.1
4/23/2016,18.8
4/24/2016,17
4/25/2016,16.8
4/26/2016,14.2
4/27/2016,15.2
4/28/2016,17.1
4/29/2016,17.5
4/30/2016,17.4
5/1/2016,17.9
5/2/2016,16.3
5/3/2016,13.8
5/4/2016,14.2
5/5/2016,14.2
5/6/2016,14.5
5/7/2016,15.8
5/8/2016,17
5/9/2016,18.2
5/10/2016,19.8
5/11/2016,20.6
5/12/2016,23.3
5/13/2016,22.2
5/14/2016,21.4
5/15/2016,20.2
5/16/2016,19.5
5/17/2016,18.8
5/18/2016,17.6
5/19/2016,18.7
5/20/2016,19.5
5/21/2016,17.7
5/22/2016,16.5
5/23/2016,19.5
5/24/2016,20.4
5/25/2016,18.4
5/26/2016,20.8
5/27/2016,22.4
5/28/2016,22.6
5/29/2016,23.7
5/30/2016,26.9
5/31/2016,26.8
6/1/2016,26.2
6/2/2016,26.6
6/3/2016,23.8
6/4/2016,23.2
6/5/2016,23.4
6/6/2016,24
6/7/2016,22.2
6/8/2016,20
6/9/2016,20.2
6/10/2016,20.4
6/11/2016,21.8
6/12/2016,24.8
6/13/2016,23.6
6/14/2016,22.6
6/15/2016,24
6/16/2016,25.9
6/17/2016,30
6/18/2016,32.1
6/19/2016,31.7
6/20/2016,30.7
6/21/2016,29.1
6/22/2016,28.8
6/23/2016,28.7
6/24/2016,27.8
6/25/2016,25.6
6/26/2016,24
6/27/2016,26.7
6/28/2016,27.3
6/29/2016,25.6
6/30/2016,26.6
7/1/2016,27.7
7/2/2016,28.5
7/3/2016,28
7/4/2016,28
7/5/2016,27.5
7/6/2016,27.4
7/7/2016,26.7
7/8/2016,26
7/9/2016,26
7/10/2016,28
7/11/2016,27.7
7/12/2016,26.6
